ID,envir_labo,envir_clinique,envir_terrain,envir_bibarchives,envir_modele,envir_theoredac,terme_corpus,terme_ressources,terme_valeurs,terme_sources,terme_materiaux,terme_mesures,terme_stat,terme_jeuxdo,terme_basedo,terme_pipeline,terme_brutes,terme_nettoyees,terme_negatives,plus_tech,plus_expe,plus_autom,plus_dorares,plus_dostandards,plus_theo,plus_workflow,plus_modeli,plus_support,reprofam,quali_tracabilite,quali_replicabilite,quali_reproductibilite,quali_explicabilite,quali_rechouv,quali_openschol,quali_transparence,temps_collecte,temps_numeriser,temps_corpus,temps_nettoyer,temps_structurer,temps_analyser,temps_modeliser,temps_visu,temps_qualifier,temps_archiver,temps_qualite,temps_disporech,temps_com,temps_formation,source_terrain,source_instru,source_bddOA,source_bddabo,source_bddcoll,source_article,source_web,source_archive,produit_fichierordi,produit_fichierhteperf,produit_norme,produit_script,produit_logiciel,produit_notesnum,produit_notespap,partagerestreint,partagecontrole,partageligne,partagelicence,oblig_comedit,oblig_comethique,oblig_financeur,oblig_partenaire,oblig_non,oblig_nonapp,dispo_amov,dispo_envoi,dispo_mail,dispo_servsecu,dispo_datapaper,dispo_supplem,dispo_site,dispo_cloudnoninst,dispo_cloudinst,dispo_entrepgal,dispo_entrepdiscip,dispo_git,dispo_nsp,dispo_nonapp,limite_habitude,limite_valo,limite_doute,limite_temps,limite_mesusage,reutilisable,reutilise,mettredispo_cahiers,mettredispo_logiciels,mettredispo_doc,mettredispo_metado,mettredispo_protocole,mettredispo_blog,conserv_ordiperso,conserv_ordiprof,conserv_externe,conserv_servint,conserv_servinst,conserv_servautre,conserv_servinfrastr,conserv_servprive,conserv_web,conserv_archivage,conserv_nonappl,tailleequipe,wavec_perman,wavec_nonperman,wavec_IT,wavec_SI,wavec_bib,wavec_jur,wavec_valo,wavec_scouv,wavec_manag,wavec_com,wavec_intnat,sysOS,log_tab,log_tabsci,log_bdd,log_visu,log_stat,log_image,log_datasci,log_prog,log_entrep,log_nonapp,outil_moi,outil_equipe,outil_parten,outil_employeur,outil_reso,outil_liste,outil_formation,outil_colloque,outil_informel,outil_veille,outil_nonapp,forma_equipe,forma_parten,forma_atelier,forma_informel,forma_mooc,forma_presentiel,forma_continue,forma_tuto,forma_papier,forma_nonapp,collab_cahier,collab_bdd,collab_dosspartage,collab_redacpartage,collab_codepartage,collab_wiki,collab_gestionproj,collab_seul,connsoutien,bénésoutien,oksoutien,soutien_fi,soutien_rh,soutien_infrastr,soutien_tech,soutien_forma,soutien_jur,soutien_ethique,soutien_nonapp,aide_amont,aide_constitution,aide_traitement,aide_stockage,aide_misedispo,aide_valo,aide_publi,aide_nonappl,aidequi_speetab,aidequi_sepecentres,aidequi_labo,aidequi_liste,aidequi_platef,aidequi_formation,aidequi_JE,aidequi_nonappl,anciennete,structure,fct_perma,fct_nonperma,fct_IT,fct_bib,fct_autre,statut,disc_dt,disc_inf,disc_lsh,disc_math,disc_pluri,disc_vie,disc_inge,disc_terre,disc_matiere,disc_pour_ponde,poids,specialite,sexe
382,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Pas du tout,Oui,Non,Non,Oui,Non,Non,Oui,plus,moins,plus,plus,moins,plus,plus,moins,moins,plus,moins,moins,moins,moins,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Souvent,Jamais,Jamais,Jamais,Oui,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,oui,non,non,oui,oui,Je ne sais pas,Parfois,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,seule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Windows,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Parfois,plutotsat,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Plus de dix ans,autre,Oui,Non,Non,Non,Non,fonct,Non,Non,Non,Non,Non,Non,Non,Non,Non,autre,1,autre,Une femme
1150,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Peu,Oui,Oui,Oui,Oui,Non,Non,Oui,moins,plus,NA,moins,moins,NA,moins,moins,moins,moins,NA,moins,moins,NA,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Jamais,Jamais,Jamais,Jamais,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,oui,non,non,oui,non,Je ne sais pas,Parfois,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,MacOS,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Jamais,NA,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Plus de dix ans,autre,Oui,Non,Non,Non,Non,CDI,Non,Non,Non,Non,Non,Non,Non,Non,Non,autre,1,autre,Une femme
188,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Tout à fait,Non,Non,Non,Non,Non,Non,Non,plus,moins,moins,NA,moins,plus,moins,moins,moins,moins,moins,NA,moins,moins,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Parfois,Parfois,Jamais,Jamais,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,non,non,oui,oui,non,Non,Souvent,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,MacOS,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Jamais,NA,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Cinq à dix ans,autre,Non,Oui,Non,Non,Non,CDD,Non,Non,Non,Non,Non,Non,Non,Non,Non,autre,1,autre,Autre
626,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Tout à fait,Non,Oui,Oui,Oui,Oui,Non,Oui,moins,NA,NA,moins,moins,moins,moins,moins,moins,moins,moins,NA,moins,moins,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Parfois,Jamais,Jamais,Jamais,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,oui,oui,non,oui,non,Oui,Souvent,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Windows,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Parfois,plutotsat,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Plus de dix ans,NA,Oui,Non,Non,Non,Non,fonct,Non,Non,Non,Non,Non,Non,Non,Non,Non,autre,1,géographie,Un homme
320,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Assez,Oui,Oui,Oui,Oui,Oui,Oui,Oui,plus,moins,moins,plus,moins,moins,moins,moins,plus,plus,moins,moins,moins,moins,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Parfois,Souvent,Souvent,Souvent,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,oui,non,non,oui,non,Oui,Parfois,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,2a5,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,MacOS,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Souvent,plutotsat,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Moins de cinq ans,CNRS,Non,Non,Oui,Non,Oui,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,archéologie,Un homme
32,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Tout à fait,Oui,Oui,Oui,Non,Oui,Non,Oui,moins,moins,moins,NA,moins,moins,moins,moins,moins,moins,moins,NA,moins,moins,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Souvent,Souvent,Parfois,Parfois,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,oui,oui,non,non,oui,Oui,Souvent,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,11plus,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Windows,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Jamais,NA,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Plus de dix ans,autre,Oui,Non,Non,Non,Non,CDI,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,autre,Un homme
1161,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Pas du tout,Oui,Non,Oui,Oui,Non,Non,Oui,moins,moins,NA,moins,moins,plus,NA,NA,moins,moins,NA,NA,NA,NA,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,NA,NA,NA,Toujours,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,oui,non,non,oui,non,Oui,Souvent,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Windows,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Souvent,plutotsat,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Moins de cinq ans,Université,Non,Non,Non,Oui,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,autre,Une femme
1087,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Tout à fait,Non,Non,Oui,Oui,Oui,Non,Non,plus,moins,moins,moins,moins,moins,moins,moins,moins,NA,moins,moins,NA,moins,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Parfois,Parfois,Jamais,Souvent,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,oui,non,non,oui,non,Oui,Souvent,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,11plus,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,MacOS,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non applicable,NA,NA,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Cinq à dix ans,Université,Oui,Non,Non,Non,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,autre,Un homme
128,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Tout à fait,Oui,Oui,Oui,Oui,Oui,Non,Non,moins,moins,NA,moins,moins,moins,moins,moins,moins,moins,moins,moins,moins,moins,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Souvent,Souvent,Souvent,Souvent,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,non,oui,non,oui,oui,Oui,Souvent,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,2a5,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,MacOS,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Parfois,insatisfait,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Plus de dix ans,Université,Oui,Non,Non,Non,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,géographie,Un homme
445,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Assez,Oui,Non,Oui,Oui,Oui,Non,Non,moins,moins,moins,plus,moins,plus,plus,plus,plus,plus,plus,moins,plus,plus,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Jamais,Souvent,Souvent,Toujours,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,oui,non,non,oui,oui,Oui,Souvent,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,6a10,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,MacOS,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Souvent,plutotsat,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Moins de cinq ans,Université,Non,Non,Oui,Non,Oui,CDD,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,histoire,Une femme
470,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Assez,Non,Non,Non,Non,Non,Non,Non,moins,NA,moins,moins,moins,moins,moins,moins,moins,moins,moins,moins,moins,moins,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Parfois,Jamais,Jamais,Jamais,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,oui,non,oui,oui,non,Non,Jamais,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,MacOS,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Parfois,insatisfait,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Plus de dix ans,autre,Oui,Non,Non,Non,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,histoire,Un homme
770,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Assez,Non,Non,Oui,Oui,Oui,Non,Non,moins,NA,NA,moins,NA,plus,moins,moins,moins,NA,NA,moins,NA,moins,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Parfois,Jamais,Jamais,Souvent,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,oui,non,non,non,non,Oui,Toujours,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,2a5,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Windows,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Souvent,NA,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Plus de dix ans,Université,Oui,Non,Non,Non,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,linguistique,Une femme
257,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Assez,Non,Non,Oui,Oui,Non,Non,Oui,plus,NA,NA,plus,plus,plus,moins,moins,NA,moins,moins,moins,plus,NA,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Parfois,Jamais,Jamais,Jamais,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,non,oui,non,oui,non,Oui,Parfois,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,2a5,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Windows,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,NA,nini,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Plus de dix ans,NA,Non,Non,Non,Non,Non,fonct,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,autre,1,NA,Autre
426,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Pas du tout,Non,Oui,Non,Non,Oui,Non,Non,moins,moins,moins,moins,plus,moins,moins,moins,moins,moins,moins,moins,moins,moins,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non applicable,Non applicable,Non applicable,Non applicable,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,non,non,non,non,non,Non applicable,Non applicable,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,seule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MacOS,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Parfois,insatisfait,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Moins de cinq ans,NA,Non,Oui,Non,Non,Non,autre,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,autre,1,autre,Un homme
556,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Assez,Non,Non,Oui,Non,Oui,Non,Oui,moins,NA,NA,moins,moins,plus,NA,NA,NA,NA,moins,moins,NA,NA,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Souvent,Non applicable,Non applicable,Non applicable,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,non,oui,oui,non,non,Oui,Souvent,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,2a5,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Windows,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Jamais,nini,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Cinq à dix ans,autre,Oui,Non,Non,Non,Non,fonct,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,autre,1,histoire,Un homme
97,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Peu,Non,Non,Non,Oui,Non,Non,Non,NA,NA,NA,NA,NA,plus,NA,NA,NA,moins,moins,moins,NA,NA,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,NA,NA,NA,NA,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,oui,non,oui,non,non,Non applicable,Parfois,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,2a5,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,MacOS,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,NA,NA,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Plus de dix ans,autre,Non,Non,Non,Non,Non,autre,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,autre,1,sociologie,Une femme
691,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Assez,Non,Non,Oui,Oui,Non,Non,Oui,moins,NA,moins,moins,moins,plus,NA,moins,moins,moins,NA,moins,moins,moins,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Parfois,Jamais,Parfois,Jamais,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,oui,oui,non,non,non,Oui,Parfois,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,seule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Windows,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Toujours,tressat,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Moins de cinq ans,Université,Non,Oui,Non,Non,Non,doct,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,autre,1,sociologie,Un homme
